Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,12.268572,13.005714,12.165714,12.964286,11.223147,186503800
2009-01-05,13.310000,13.740000,13.244286,13.511429,11.696809,295402100
2009-01-06,13.707143,13.881429,13.198571,13.288571,11.503882,322327600
2009-01-07,13.115714,13.214286,12.894286,13.001429,11.255305,188262200
2009-01-08,12.918571,13.307143,12.862857,13.242857,11.464305,168375200
2009-01-09,13.315714,13.340000,12.877143,12.940000,11.202125,136711400
2009-01-12,12.922857,12.998571,12.507143,12.665714,10.964678,154429100
2009-01-13,12.605714,12.820000,12.335714,12.530000,10.847189,199599400
2009-01-14,12.320000,12.464286,12.102858,12.190000,10.552851,255416000
2009-01-15,11.510000,12.017143,11.435715,11.911428,10.311691,457908500
2009-01-16,12.042857,12.054286,11.485714,11.761429,10.181838,261906400
2009-01-20,11.704286,11.714286,11.171429,11.171429,9.671075,229978700
2009-01-21,11.341429,11.840000,11.330000,11.832857,10.243671,272317500
2009-01-22,12.577143,12.857142,12.260000,12.622857,10.927574,352382100
2009-01-23,12.402857,12.838572,12.357142,12.622857,10.927574,190942500
2009-01-26,12.694285,12.995714,12.614285,12.805715,11.085875,173059600
2009-01-27,12.884286,13.078571,12.820000,12.961429,11.220674,154509600
2009-01-28,13.160000,13.571428,13.071428,13.457143,11.649816,215351500
2009-01-29,13.298572,13.477143,13.228572,13.285714,11.501410,148182300
2009-01-30,13.228572,13.374286,12.858571,12.875714,11.146472,162869700
2009-02-02,12.728572,13.142858,12.700000,13.072857,11.317137,139561800
2009-02-03,13.131429,13.340000,12.897142,13.282857,11.498934,149827300
2009-02-04,13.317142,13.750000,13.300000,13.364285,11.569427,202105400
2009-02-05,13.252857,13.892858,13.231428,13.780000,11.929309,187311600
2009-02-06,13.860000,14.285714,13.857142,14.245714,12.332478,171802400
2009-02-09,14.285714,14.714286,14.214286,14.644286,12.677522,178752700
2009-02-10,14.475715,14.644286,13.865714,13.975715,12.098739,212265200
2009-02-11,13.767143,14.044286,13.681429,13.831429,11.973831,168743400
2009-02-12,13.690000,14.250000,13.690000,14.181429,12.276825,204297100
2009-02-13,14.141429,14.277143,14.017143,14.165714,12.263221,152244400
2009-02-17,13.838572,13.862857,13.468572,13.504286,11.690626,169559600
2009-02-18,13.578571,13.692857,13.245714,13.481428,11.670837,171194800
2009-02-19,13.338572,13.464286,12.872857,12.948571,11.209543,230701100
2009-02-20,12.771428,13.200000,12.714286,13.028571,11.278802,187579000
2009-02-23,13.092857,13.142858,12.358571,12.421429,10.753200,196745500
2009-02-24,12.492857,12.984285,12.428572,12.892858,11.161312,201776400
2009-02-25,12.837143,13.274285,12.750000,13.022857,11.273849,208263300
2009-02-26,13.142858,13.274285,12.708571,12.741428,11.030221,157467100
2009-02-27,12.561429,13.042857,12.524285,12.758572,11.045059,176664600
2009-03-02,12.588572,13.028571,12.524285,12.562857,10.875631,192732400
