Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,1.071254,1.086780,1.055729,1.086780,0.601079,428600
1982-01-04,1.086780,1.097130,1.076429,1.086780,0.601079,123100
1982-01-05,1.086780,1.097130,1.066079,1.066079,0.589630,251100
1982-01-06,1.086780,1.097130,1.076429,1.086780,0.601079,318800
1982-01-07,1.117831,1.138531,1.097130,1.117831,0.618253,371800
1982-01-08,1.159232,1.200633,1.117831,1.200633,0.664049,1734200
1982-01-11,1.179932,1.210983,1.148882,1.148882,0.635427,496200
1982-01-12,1.128181,1.138531,1.117831,1.128181,0.623977,263200
1982-01-13,1.138531,1.148882,1.128181,1.128181,0.623977,149700
1982-01-14,1.190283,1.221334,1.148882,1.210983,0.669774,253500
1982-01-15,1.210983,1.231684,1.190283,1.210983,0.669774,152100
1982-01-18,1.200633,1.221334,1.179932,1.221334,0.675498,218400
1982-01-19,1.210983,1.221334,1.190283,1.190283,0.658324,270500
1982-01-20,1.221334,1.252384,1.190283,1.242034,0.686948,607300
1982-01-21,1.262735,1.283435,1.231684,1.242034,0.686948,486600
1982-01-22,1.231684,1.252384,1.210983,1.221334,0.675498,1106100
1982-01-25,1.179932,1.200633,1.159232,1.169582,0.646875,183400
1982-01-26,1.179932,1.190283,1.169582,1.179932,0.652600,152100
1982-01-27,1.179932,1.190283,1.169582,1.179932,0.652600,201600
1982-01-28,1.231684,1.273085,1.190283,1.273085,0.704121,570000
1982-01-29,1.262735,1.273085,1.242034,1.242034,0.686948,673800
1982-02-01,1.221334,1.242034,1.200633,1.200633,0.664049,167800
1982-02-02,1.190283,1.200633,1.179932,1.179932,0.652600,245000
1982-02-03,1.179932,1.190283,1.169582,1.179932,0.652600,219700
1982-02-04,1.169582,1.179932,1.148882,1.159232,0.641151,205300
1982-02-05,1.169582,1.179932,1.148882,1.169582,0.646875,223300
1982-02-08,1.138531,1.169582,1.097130,1.117831,0.618253,142400
1982-02-09,1.107480,1.128181,1.086780,1.086780,0.601079,289800
1982-02-10,1.107480,1.117831,1.086780,1.097130,0.606803,531200
1982-02-11,1.097130,1.097130,1.086780,1.086780,0.601079,95300
1982-02-12,1.086780,1.097130,1.076429,1.086780,0.601079,139900
1982-02-16,1.076429,1.097130,1.055729,1.097130,0.606803,253500
1982-02-17,1.117831,1.138531,1.086780,1.117831,0.618253,214900
1982-02-18,1.138531,1.159232,1.117831,1.159232,0.641151,242600
1982-02-19,1.169582,1.190283,1.148882,1.159232,0.641151,298200
1982-02-22,1.179932,1.190283,1.169582,1.179932,0.652600,113500
1982-02-23,1.148882,1.159232,1.138531,1.138531,0.629702,136400
1982-02-24,1.138531,1.148882,1.128181,1.148882,0.635427,150800
1982-02-25,1.169582,1.200633,1.128181,1.169582,0.646875,361000
1982-02-26,1.159232,1.169582,1.148882,1.159232,0.641151,49400
1982-03-01,1.159232,1.169582,1.148882,1.169582,0.646875,109800
1982-03-02,1.179932,1.179932,1.169582,1.169582,0.646875,92900
1982-03-03,1.148882,1.159232,1.138531,1.138531,0.629702,31300
1982-03-04,1.128181,1.138531,1.117831,1.138531,0.629702,120600
1982-03-05,1.117831,1.138531,1.097130,1.138531,0.629702,179800
1982-03-08,1.117831,1.138531,1.086780,1.086780,0.601079,143600
1982-03-09,1.076429,1.086780,1.055729,1.066079,0.589630,234200
1982-03-10,1.076429,1.086780,1.066079,1.066079,0.589630,210000
1982-03-11,1.076429,1.086780,1.066079,1.066079,0.589630,125500
1982-03-12,1.035028,1.066079,0.993627,1.003978,0.555283,515500
1982-03-15,1.003978,1.014328,0.993627,1.003978,0.555283,104900
1982-03-16,1.024678,1.035028,1.003978,1.035028,0.572456,190700
1982-03-17,1.035028,1.045379,1.024678,1.035028,0.572456,141200
1982-03-18,1.066079,1.076429,1.045379,1.045379,0.578181,317500
1982-03-19,1.055729,1.066079,1.045379,1.045379,0.578181,63900
1982-03-22,1.066079,1.097130,1.035028,1.097130,0.606803,408100
1982-03-23,1.097130,1.107480,1.086780,1.107480,0.612528,196700
1982-03-24,1.097130,1.107480,1.076429,1.076429,0.595354,377800
1982-03-25,1.097130,1.107480,1.076429,1.097130,0.606803,301800
1982-03-26,1.086780,1.097130,1.076429,1.097130,0.606803,276500
1982-03-29,1.076429,1.086780,1.066079,1.086780,0.601079,204000
1982-03-30,1.076429,1.086780,1.055729,1.076429,0.595354,206400
1982-03-31,1.076429,1.097130,1.055729,1.055729,0.583905,61400
1982-04-01,1.066079,1.076429,1.055729,1.066079,0.589630,88000
1982-04-02,1.086780,1.097130,1.076429,1.076429,0.595354,204000
1982-04-05,1.076429,1.086780,1.066079,1.076429,0.595354,176200
1982-04-06,1.076429,1.076429,1.066079,1.076429,0.595354,207600
1982-04-07,1.076429,1.086780,1.066079,1.066079,0.589630,170200
1982-04-08,1.066079,1.076429,1.055729,1.066079,0.589630,112200
1982-04-12,1.076429,1.076429,1.066079,1.076429,0.595354,764400
1982-04-13,1.076429,1.076429,1.066079,1.076429,0.595354,113500
1982-04-14,1.055729,1.076429,1.035028,1.055729,0.583905,103800
1982-04-15,1.024678,1.045379,1.003978,1.024678,0.566732,1493800
1982-04-16,1.024678,1.035028,1.014328,1.035028,0.572456,166500
1982-04-19,1.024678,1.035028,1.014328,1.024678,0.566732,96500
1982-04-20,1.003978,1.014328,0.993627,0.993627,0.549558,731800
1982-04-21,0.952226,0.983277,0.921175,0.952226,0.526660,3883900
1982-04-22,0.941876,0.952226,0.931526,0.931526,0.515211,404400
1982-04-23,0.941876,0.952226,0.921175,0.931526,0.515211,629000
1982-04-26,0.962576,0.993627,0.921175,0.993627,0.549558,341700
1982-04-27,0.993627,1.003978,0.983277,0.993627,0.549558,269200
1982-04-28,1.003978,1.014328,0.993627,1.014328,0.561007,71200
1982-04-29,1.003978,1.014328,0.993627,1.003978,0.555283,284900
1982-04-30,1.014328,1.014328,1.003978,1.014328,0.561007,57900
1982-05-03,1.014328,1.024678,1.003978,1.024678,0.566732,72300
1982-05-04,1.014328,1.024678,1.003978,1.003978,0.555283,254700
1982-05-05,0.993627,1.003978,0.983277,0.993627,0.549558,265600
1982-05-06,1.024678,1.045379,0.993627,1.035028,0.572456,446700
1982-05-07,1.055729,1.066079,1.035028,1.055729,0.583905,390000
1982-05-10,1.066079,1.066079,1.055729,1.055729,0.583905,74700
1982-05-11,1.097130,1.117831,1.066079,1.097130,0.606803,524100
1982-05-12,1.097130,1.117831,1.076429,1.097130,0.606803,440700
1982-05-13,1.086780,1.097130,1.066079,1.066079,0.589630,143600
