Date,Open,High,Low,Close,Adj Close,Volume
1996-01-22,27.375000,27.625000,27.125000,27.500000,12.854369,1036400
1996-01-23,27.375000,27.500000,27.250000,27.250000,12.737515,393000
1996-01-24,27.375000,27.875000,27.250000,27.750000,12.971228,822900
1996-01-25,27.750000,27.875000,27.625000,27.625000,12.912796,1068800
1996-01-26,27.375000,27.750000,27.375000,27.750000,12.971228,692600
1996-01-29,27.625000,27.875000,27.375000,27.625000,12.912796,258600
1996-01-30,27.625000,27.625000,27.375000,27.375000,12.795941,259600
1996-01-31,27.375000,27.750000,27.250000,27.750000,12.971228,635500
1996-02-01,27.750000,27.750000,27.250000,27.375000,12.795941,411700
1996-02-02,27.375000,27.500000,27.125000,27.250000,12.737515,311300
1996-02-05,27.000000,27.375000,27.000000,27.375000,12.795941,429100
1996-02-06,27.125000,27.625000,27.125000,27.625000,12.912796,511800
1996-02-07,27.625000,27.875000,27.500000,27.625000,12.912796,560400
1996-02-08,27.500000,27.625000,27.125000,27.375000,12.795941,490600
1996-02-09,27.375000,27.625000,27.250000,27.375000,12.795941,536800
1996-02-12,27.500000,27.625000,27.375000,27.375000,12.795941,496800
1996-02-13,27.500000,27.625000,26.750000,26.750000,12.503798,845000
1996-02-14,26.875000,27.250000,26.250000,26.500000,12.386937,902400
1996-02-15,26.500000,26.750000,26.250000,26.750000,12.503798,962500
1996-02-16,26.625000,26.750000,26.375000,26.625000,12.445367,971100
1996-02-20,26.375000,26.500000,26.000000,26.000000,12.153224,989100
1996-02-21,26.125000,26.500000,26.000000,26.000000,12.153224,1329800
1996-02-22,26.125000,26.250000,25.625000,25.750000,12.036365,1335700
1996-02-23,26.000000,26.125000,25.625000,25.875000,12.094796,598200
1996-02-26,25.750000,25.750000,25.250000,25.375000,11.861077,650800
1996-02-27,25.375000,25.875000,25.375000,25.750000,12.036365,1019400
1996-02-28,25.875000,26.250000,25.500000,25.500000,11.919511,1063300
1996-02-29,25.500000,25.875000,24.750000,25.625000,11.977938,556200
1996-03-01,25.750000,25.750000,25.375000,25.625000,11.977938,556000
1996-03-04,25.625000,26.125000,25.500000,26.000000,12.153224,534400
1996-03-05,25.875000,26.250000,25.875000,26.125000,12.211651,1575500
1996-03-06,26.125000,26.250000,26.000000,26.125000,12.211651,664300
1996-03-07,26.000000,26.125000,26.000000,26.125000,12.211651,454500
1996-03-08,26.000000,26.000000,25.625000,25.625000,11.977938,488900
1996-03-11,25.375000,25.625000,25.125000,25.500000,11.919511,657900
1996-03-12,25.375000,25.500000,25.000000,25.250000,11.802654,1457200
1996-03-13,24.875000,24.875000,24.500000,24.625000,11.738299,961200
1996-03-14,24.625000,24.750000,24.375000,24.500000,11.678713,1020700
1996-03-15,24.250000,24.375000,23.750000,24.125000,11.499958,4226500
1996-03-18,24.375000,25.625000,24.375000,25.000000,11.917051,1017000
1996-03-19,25.125000,25.375000,24.750000,25.000000,11.917051,545800
1996-03-20,25.000000,25.375000,25.000000,25.125000,11.976637,1512700
1996-03-21,25.125000,25.375000,24.875000,25.250000,12.036226,695500
1996-03-22,25.375000,25.500000,25.250000,25.375000,12.095808,458000
1996-03-25,25.750000,25.750000,25.375000,25.500000,12.155395,434900
1996-03-26,25.375000,25.625000,25.250000,25.500000,12.155395,917600
1996-03-27,25.375000,25.500000,25.250000,25.375000,12.095808,393700
1996-03-28,25.000000,25.000000,24.000000,24.500000,11.678713,1070500
1996-03-29,24.375000,24.375000,22.375000,22.375000,10.665765,6238200
1996-04-01,22.375000,22.750000,22.375000,22.625000,10.784933,2334700
1996-04-02,22.750000,23.000000,22.625000,22.875000,10.904104,1960100
1996-04-03,22.875000,23.375000,22.875000,23.250000,11.082858,1934100
1996-04-04,23.375000,23.500000,23.125000,23.375000,11.142446,1309700
1996-04-08,23.000000,23.250000,22.875000,23.125000,11.023277,2317500
1996-04-09,23.125000,23.250000,22.875000,23.000000,10.963689,1230900
1996-04-10,23.000000,23.125000,22.875000,23.000000,10.963689,1080200
1996-04-11,23.000000,23.125000,22.750000,22.750000,10.844519,1258300
1996-04-12,22.875000,23.125000,22.750000,22.875000,10.904104,959700
1996-04-15,23.000000,23.000000,22.500000,22.500000,10.725349,1483500
1996-04-16,22.625000,23.000000,22.625000,22.750000,10.844519,1465400
1996-04-17,22.750000,23.000000,22.750000,22.875000,10.904104,921400
1996-04-18,22.875000,22.875000,22.500000,22.625000,10.784933,1427700
1996-04-19,22.750000,22.875000,22.750000,22.875000,10.904104,2071700
1996-04-22,23.000000,23.000000,22.500000,22.750000,10.844519,1149200
1996-04-23,22.750000,22.750000,22.500000,22.750000,10.844519,1548200
1996-04-24,22.750000,22.750000,22.375000,22.500000,10.725349,1203700
1996-04-25,22.375000,22.625000,22.375000,22.625000,10.784933,973100
